Iteration,Random_Max,Random_Avg
1056,0.440910,0.130590
1057,0.440910,0.126155
1058,0.440910,0.130395
1059,0.440910,0.129401
1060,0.440910,0.127987
1061,0.440910,0.128219
1062,0.440910,0.130231
1063,0.440910,0.127347
1064,0.440910,0.129261
1065,0.440910,0.123650
1066,0.440910,0.129614
1067,0.440910,0.125056
1068,0.440910,0.130695
1069,0.440910,0.131361
1070,0.440910,0.128189
1071,0.440910,0.128918
1072,0.440910,0.128496
1073,0.440910,0.121575
1074,0.440910,0.130466
1075,0.440910,0.131078
1076,0.440910,0.132640
1077,0.440910,0.129800
1078,0.440910,0.132974
1079,0.440910,0.129489
1080,0.440910,0.127054
1081,0.440910,0.126774
1082,0.440910,0.127300
1083,0.440910,0.130807
1084,0.440910,0.130452
1085,0.440910,0.127740
1086,0.440910,0.126038
1087,0.440910,0.127107
1088,0.440910,0.129381
1089,0.440910,0.128791
1090,0.440910,0.128002
1091,0.440910,0.131363
1092,0.440910,0.127544
1093,0.440910,0.131165
1094,0.440910,0.130396
1095,0.440910,0.131111
1096,0.440910,0.133086
1097,0.440910,0.130230
1098,0.440910,0.127874
1099,0.440910,0.134419
1100,0.440910,0.130639
1101,0.440910,0.132722
1102,0.440910,0.128190
1103,0.440910,0.130976
1104,0.440910,0.129641
1105,0.440910,0.123542
1106,0.440910,0.128851
1107,0.440910,0.131615
1108,0.440910,0.131787
1109,0.444567,0.130679
1110,0.444567,0.127991
1111,0.444567,0.129710
1112,0.449002,0.131179
1113,0.449002,0.128558
1114,0.449002,0.129390
1115,0.449002,0.129621
1116,0.449002,0.132245
1117,0.449002,0.127996
1118,0.449002,0.127929
1119,0.449002,0.124654
1120,0.449002,0.125119
1121,0.449002,0.124452
1122,0.449002,0.130345
1123,0.449002,0.126944
1124,0.449002,0.129066
1125,0.449002,0.127347
1126,0.449002,0.128576
1127,0.449002,0.126709
1128,0.449002,0.130504
1129,0.449002,0.126335
1130,0.449002,0.124652
1131,0.449002,0.130057
1132,0.449002,0.131317
1133,0.449002,0.134396
1134,0.449002,0.128333
1135,0.449002,0.127309
1136,0.449002,0.129349
1137,0.449002,0.128931
1138,0.449002,0.128398
1139,0.449002,0.123645
1140,0.449002,0.127850
1141,0.449002,0.129542
1142,0.449002,0.130375
1143,0.449002,0.126525
